D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_07_484.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_07_484.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_07_484.jpg, 0, 0, 0, 0.5914388
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_07_585.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_07_585.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_07_585.jpg, 0, 0, 0, 0.5855084
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_07_686.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_07_686.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_07_686.jpg, 0, 0, 0, 0.5796375
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_07_786.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_07_786.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_07_786.jpg, 0, 0, 0, 0.5738255
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_07_888.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_07_888.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_07_888.jpg, 0, 0, 0, 0.5680718
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_07_987.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_07_987.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_07_987.jpg, 0, 0, 0, 0.5623758
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_087.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_087.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_087.jpg, 0, 0, 0, 0.5567371
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_188.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_188.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_188.jpg, 0, 0, 0, 0.551155
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_288.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_288.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_288.jpg, 0, 0, 0, 0.5456287
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_389.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_389.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_389.jpg, 0, 0, 0, 0.540158
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_489.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_489.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_489.jpg, 0, 0, 0, 0.5336656
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_590.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_590.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_590.jpg, 0, 0, 0, 0.5283149
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_690.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_690.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_690.jpg, 0, 0, 0, 0.5230179
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_791.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_791.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_791.jpg, 0, 0.2081631, 0, 0.6346143
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_891.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_891.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_891.jpg, 0, 0.5083995, 0, 1.100588
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_08_991.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_08_991.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_08_991.jpg, -0.137163, 0.8086244, 0, 1.88243
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_093.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_093.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_093.jpg, -0.4366137, 1, 0, 3.010997
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_193.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_193.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_193.jpg, -0.7378901, 0.9607096, 0, 4.134485
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_295.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_295.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_295.jpg, -0.5924743, 0.658227, 0, 5.0295
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_396.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_396.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_396.jpg, -0.292731, 0.3584838, 0, 5.586216
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_497.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_497.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_497.jpg, 0, 0.1915059, 0, 5.786497
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_597.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_597.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_597.jpg, 0, 0.4929339, 0, 6.162224
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_698.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_698.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_698.jpg, 0, 0.7918797, 0, 6.897142
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_800.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_800.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_800.jpg, 0, 0.8855767, 0, 7.927058
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_09_901.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_09_901.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_09_901.jpg, 0, 0.5831098, 0, 8.721491
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_10_002.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_10_002.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_10_002.jpg, 0, 0.850359, 0, 9.497975
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_10_104.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_10_104.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_10_104.jpg, 0, 1, 0, 10.56966
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_10_204.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_10_204.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_10_204.jpg, -0.2959143, 1, 0, 11.47265
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_10_304.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_10_304.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_10_304.jpg, -0.125328, 0.7748022, 0, 12.63392
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_10_405.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_10_405.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_10_405.jpg, 0, 0.4872937, 0, 13.02081
D:\Fall 2023\Robot Perception\IMG\center_2023_10_02_23_25_10_506.jpg, D:\Fall 2023\Robot Perception\IMG\left_2023_10_02_23_25_10_506.jpg, D:\Fall 2023\Robot Perception\IMG\right_2023_10_02_23_25_10_506.jpg, 0, 0.7847572, 0, 13.76914
